Gene,Name
At5g53170,FtsH11
At2g26140,FtsH4
At1g07510,FtsH10 
At2g29080,FtsH3
At5g26860,Lon1
At3g05780,Lon3
At3g05790,Lon4
At5g23140,ClpP2
At5g53350,ClpX1
At5g49840,ClpX2
At1g33360,ClpX3
At3g02090,MPP-b
At1g51980,MPP-a1
At3g16480,MPP-a2
At1g09300,Icp55
At5g51540,Oct-01
At1g18600,RBL12
At1g53530,imp1
At3g08980,imp2
AT1G06870,candidate1
AT1G23465,candidate2
AT2G31140,candidate3
AT5G36950,DegP10
AT5G27660,DegP14
At3g03420,Atp23
AT3G19170,Prep1
At1g49630,Prep2
At5g65620 ,OOP
AT4G30910,AMPL3 (Lap3)
At5g51740,Oma1
