AGI,symbol,pch,coding
AT1G12440,A20/AN1-ZF,1,2
AT1G20510,OPCL1,1,2
AT1G36180,ACC2,1,2
AT1G61870,PPR 336,1,2
AT1G80160,GLYI7,1,2
AT2G01021,hypothetical protein;(source:Araport11),2,2
AT2G05915,hypothetical protein;(source:Araport11),2,2
AT2G07774,hypothetical protein;(source:Araport11),2,2
AT2G07775,hypothetical protein;(source:Araport11),2,2
AT2G17845,NAD(P)-binding,1,2
AT2G37250,ADK,1,2
AT2G38280,FAC1,1,2
AT2G43360,BIO2,1,2
AT3G12260,B14,1,2
AT3G14770,SWEET2,1,2
AT3G15450,YGL&LRDR ,1,2
AT3G16480,MPP alpha,1,2
AT3G19170,Prep1,1,2
AT3G22310,mtRH1,1,2
AT3G27240,CYC1,1,2
AT3G45010,scpl48,1,2
AT3G56210,ARM repeat,1,2
AT3G56730,Putative endonuclease,1,2
AT4G02580,24 kDa,1,2
AT4G05530,IBR1,1,2
AT4G17190,FPS2,1,2
AT4G26600,25S rRNA methyl-trans,1,2
AT4G30930,mtRibo L21,1,2
AT4G36850,PQ-Motif,1,2
AT4G37910,mtHSP70-1,1,2
AT5G08530,51 kDa,1,2
AT5G08690,ATP2,1,2
AT5G23140,CLPP2,1,2
AT5G27410,TF,1,2
AT5G37510,75 kDa,1,2
AT5G53350,CLPX,1,2
AT5G63760,Ubiquitin TR,1,2
AT5G64670,mtRibo L18e,1,2
ATCG00280,PSII SU,1,2
ATCG01110,NAD(P)H DH h,2,2
ATMG00030,;hypothetical protein,2,1
ATMG00040,ATPsyntC-L,1,1
ATMG00050,;hypothetical protein,2,1
ATMG00060,Nad5,1,1
ATMG00160,Cox2,1,1
ATMG00180,cyt C bio,1,1
ATMG00210,mtRibo L5,1,1
ATMG00410,Atp6,1,1
ATMG00480,Atp8,1,2
ATMG00490,mtRNA poly,1,1
ATMG00500,;hypothetical protein,2,1
ATMG00510,Nad7,1,2
ATMG00513,Nad5,1,1
ATMG00516,Nad1,1,1
ATMG00520,MATR,1,1
ATMG00530,;hypothetical protein,2,1
ATMG00560,mtRIbo L2,1,1
ATMG00610,Putative membrane lipoprotein;hypothetical protein,2,1
ATMG00660,;hypothetical protein,2,1
ATMG00670,;hypothetical protein,2,1
ATMG00690,;hypothetical protein,2,1
ATMG00730,Cox3,1,1
ATMG00810,RNA dependant DNA poly,1,1
ATMG00900,cyt C  bio,1,1
ATMG00980,mtRibo L2,1,1
ATMG00990,Nad3,1,1
ATMG01000,;hypothetical protein,2,1
ATMG01010,Unknown conserved protein;hypothetical protein,2,1
ATMG01020,;hypothetical protein,2,1
ATMG01080,Atp9,1,1
ATMG01090,ATP9,1,1
ATMG01130,;hypothetical protein,2,1
ATMG01170,Atp6,1,1
ATMG01190,ATP1,1,2
ATMG01200,;hypothetical protein,2,1
ATMG01210,;hypothetical protein,2,1
ATMG01220,;hypothetical protein,2,1
ATMG01280,Cox2L,1,1
ATMG01360,Cox1,1,1
